# Combined nev from the directory /RESULTS/grid4D/results/
# par1	par2	par3	par4	xsect [mb]	xsecterr [mb]	nev
1276	1129	2458	425	3.905e-10	6.331e-12	140581
1276	1000	3000	953	6.995e-10	1.194e-11	251821
1129	2080	2014	425	1.018e-10	1.781e-12	36649
1276	2080	1651	1233	4.501e-11	7.78e-13	16204
1129	2655	610	552	1.954e-10	3.429e-12	70345
1000	2350	3000	983	2.073e-10	3.842e-12	74629
1276	2080	3000	1093	4.56e-11	7.664e-13	16417
1276	1276	500	446	7.219e-10	1.322e-11	259884
1129	2350	1651	425	8.571e-11	1.557e-12	30856
1276	2350	610	271	2.449e-10	3.311e-12	88165
1276	1629	1353	1266	9.577e-11	1.571e-12	34478
1276	1629	610	552	2.013e-10	3.494e-12	72469
1276	1276	908	898	2.925e-10	5.176e-12	105301
1276	1841	2014	1233	6.44e-11	1.079e-12	23185
1629	3000	1108	1092	7.636e-12	1.264e-13	2749
1841	1841	744	310	7.525e-11	1.089e-12	27091
2655	1841	2014	1734	7.003e-12	1.133e-13	2522
1276	2655	2014	1093	3.069e-11	5.534e-13	11049
3000	1129	3000	959	9.788e-11	1.565e-12	35237
2080	1000	1353	640	2.698e-10	4.209e-12	97129
1841	2350	2458	695	3.406e-12	5.396e-14	1227
1442	1629	908	706	7.246e-11	9.993e-13	26086
2655	1442	2014	1244	3.058e-11	4.451e-13	11009
1629	1442	3000	1415	7.659e-11	1.343e-12	27573
1629	1000	3000	983	4.383e-10	8.026e-12	157788
1442	1129	908	863	3e-10	4.596e-12	108001
1442	1841	1651	1117	3.498e-11	5.695e-13	12593
2350	2080	500	214	6.738e-10	8.935e-12	242568
1841	1276	1108	1083	1.069e-10	1.534e-12	38485
1629	1129	1651	1023	2.484e-10	4.02e-12	89425
2350	1129	1353	1119	1.547e-10	2.803e-12	55693
2655	1841	1108	838	1.044e-11	1.465e-13	3759
2655	1276	1353	1250	6.753e-11	1.162e-12	24311
1442	1129	1108	416	2.892e-10	4.297e-12	104113
2080	1442	2458	1117	4.205e-11	6.021e-13	15139
1841	1629	908	881	4.417e-11	7.032e-13	15902
1841	1276	3000	792	9.993e-11	1.451e-12	35975
1276	1841	500	214	7.281e-10	9.868e-12	262117
1442	2080	2014	565	2.248e-11	3.768e-13	8093
3000	1841	500	490	7.648e-10	1.437e-11	275329
1841	1841	1651	1587	1.542e-11	2.519e-13	5552
1629	2080	2458	1528	1.138e-11	1.777e-13	4097
1442	2350	1108	1003	1.874e-11	2.712e-13	6747
1442	1629	1108	1083	5.968e-11	8.907e-13	21485
1629	1276	500	482	8.742e-10	1.616e-11	314713
1442	2655	2458	1415	1.184e-11	2.013e-13	4263
2080	1442	610	271	2.458e-10	3.551e-12	88489
1442	2080	500	482	7.672e-10	1.436e-11	276193
1629	1129	744	310	3e-10	4.917e-12	108001
1442	2655	1353	524	1.147e-11	1.45e-13	4130
1276	3000	2458	792	2.887e-11	5.237e-13	10394
1629	1841	3000	1604	2.077e-11	3.169e-13	7478
2350	1276	500	1	7.886e-10	1.195e-11	283897
1442	2350	908	1	3.273e-11	4.67e-13	11783
1629	1442	1108	1003	7.441e-11	1.083e-12	26788
1442	1841	744	310	9.865e-11	1.465e-12	35515
1841	2655	908	881	1.955e-11	3.438e-13	7039
1276	3000	1651	1093	2.916e-11	5.21e-13	10498
1629	2350	3000	1604	6.928e-12	1.16e-13	2495
1629	1000	908	706	4.199e-10	6.258e-12	151165
1442	3000	500	406	7.292e-10	1.197e-11	262513
1442	1442	1353	1281	1.109e-10	1.964e-12	39925
1629	1129	2458	856	2.217e-10	3.419e-12	79813
2655	1129	1651	1113	1.327e-10	2.482e-12	47773
1442	3000	908	892	2.919e-11	4.908e-13	10509
1629	1629	610	421	2.472e-10	3.525e-12	88993
1442	3000	2014	1415	1.032e-11	1.807e-13	3716
1442	1841	2458	565	3.45e-11	5.911e-13	12421
2350	1629	2014	603	1.782e-11	2.905e-13	6416
1442	2655	610	592	2.415e-10	4.398e-12	86941
2655	2350	744	727	7.061e-11	1.344e-12	25420
1841	1629	500	336	7.457e-10	1.266e-11	268453
1442	1442	2458	1117	1.07e-10	3.541e-12	38521
2655	1000	908	881	2.373e-10	3.898e-12	85429
1442	2080	1353	1042	2.153e-11	3.031e-13	7751
1629	2350	2014	1223	6.994e-12	1.203e-13	2518
2080	3000	1108	940	4.506e-12	7.163e-14	1623
2080	1129	908	863	1.757e-10	2.594e-12	63253
1000	1000	1108	400	1.185e-09	7.051e-11	426600
1000	1000	1108	870	1.174e-09	8.426e-11	422641
1000	1000	2014	870	1.288e-09	3.861e-11	463681
1000	1000	2014	400	1.311e-09	5.546e-11	471960
1000	1000	1108	922	1.156e-09	6.446e-11	416161
1000	1000	1108	640	1.207e-09	9.33e-11	434521
1000	1000	2014	640	1.312e-09	8.429e-11	472321
1000	1000	2014	922	1.21e-09	6.516e-11	435601
1000	2655	3000	784	1.992e-10	3.64e-12	71713
1000	2080	2014	784	2.247e-10	4.056e-12	80893
1000	1841	1108	983	2.703e-10	4.852e-12	97309
1000	3000	2458	983	1.951e-10	3.585e-12	70237
1129	1000	1353	784	8.822e-10	1.246e-11	317593
1129	1442	500	490	1.002e-09	1.802e-11	360721
1276	1841	1108	416	6.412e-11	8.757e-13	23084
1129	2350	744	727	1.535e-10	2.394e-12	55261
1000	1129	500	214	1.501e-09	2.25e-11	540361
1000	1276	3000	953	6.006e-10	9.737e-12	216216
1000	1000	500	482	2.129e-09	3.809e-11	766441
1000	1000	1108	953	1.293e-09	6.66e-11	465481
1000	1129	908	863	8.358e-10	1.228e-11	300889
1000	1129	2014	400	8.9e-10	1.479e-11	320401
1276	1129	610	600	6.197e-10	1.049e-11	223093
1000	1000	2014	953	1.236e-09	8.836e-11	444961
1000	1129	1108	400	8.783e-10	1.427e-11	316189
1129	3000	500	214	7.431e-10	9.723e-12	267517
1276	1629	2458	1233	9.456e-11	1.532e-12	34042
1129	3000	908	863	7.992e-11	1.13e-12	28772
1276	1276	1108	940	2.72e-10	4.567e-12	97921
1276	1841	908	863	6.823e-11	9.734e-13	24563
1000	1442	1353	983	4.223e-10	7.165e-12	152029
1442	1000	2458	640	4.877e-10	7.245e-12	175573
1276	1000	908	358	6.414e-10	9.435e-12	230905
1129	2655	2458	1104	7.917e-11	1.445e-12	28502
1276	1442	744	727	2.203e-10	3.525e-12	79309
1629	2655	1353	524	5.155e-12	6.7e-14	1856
1442	1129	2014	1104	3.226e-10	5.602e-12	116137
1276	2655	3000	792	2.97e-11	5.175e-13	10692
1276	3000	744	310	8.911e-11	1.16e-12	32080
1276	2350	1353	1233	3.659e-11	6.456e-13	13173
1276	2350	2458	1093	3.683e-11	6.454e-13	13259
1276	2080	744	658	1.084e-10	1.651e-12	39025
2655	2350	3000	2252	1.05e-12	1.609e-14	379
1000	2350	908	706	2.072e-10	2.715e-12	74593
1629	1276	2014	792	1.269e-10	2.008e-12	45685
1629	2655	2458	1528	4.425e-12	7.603e-14	1594
1276	2655	1108	1083	3.311e-11	4.716e-13	11920
1276	1276	2014	1266	2.667e-10	1.291e-11	96013
1841	1129	1353	1104	2.059e-10	3.566e-12	74125
1442	1442	610	271	3.136e-10	4.782e-12	112897
1629	1841	1108	1092	2.514e-11	3.922e-13	9051
1442	1276	744	658	2.332e-10	3.726e-12	83953
1442	1000	1353	640	4.915e-10	6.837e-12	176941
1629	1276	1353	1093	1.285e-10	1.996e-12	46261
3000	1276	1651	1163	5.595e-11	8.973e-13	20143
1276	2655	908	706	4.582e-11	6.001e-13	16496
1841	1000	3000	1	3.335e-10	4.713e-12	120061
1629	2080	1353	524	1.199e-11	1.789e-13	4317
1442	2350	1651	565	1.539e-11	2.643e-13	5541
1629	1442	1651	565	7.198e-11	1.095e-12	25913
1129	1629	1651	959	1.795e-10	3.081e-12	64621
2655	2655	1353	1336	1.248e-12	2.217e-14	450
1841	2350	744	310	6.53e-11	8.839e-13	23508
1442	1000	610	552	6.344e-10	9.723e-12	228385
1442	3000	1108	838	1.363e-11	1.756e-13	4907
1442	1129	500	214	9.517e-10	1.37e-11	342613
2350	2080	2014	1999	3.514e-12	5.538e-14	1266
2655	1000	2014	640	2.065e-10	2.863e-12	74341
1629	2350	1108	1092	1.136e-11	1.796e-13	4090
1629	3000	3000	1604	3.545e-12	6.197e-14	1277
1841	2655	2014	1815	1.937e-12	3.275e-14	698
2655	2655	2458	1476	3.616e-13	5.466e-15	131
1841	1129	610	271	3.995e-10	5.665e-12	143821
1629	1629	1353	524	4.362e-11	7.71e-13	15704
3000	1629	3000	1528	1.377e-11	2.226e-13	4958
3000	3000	3000	2861	6.981e-14	3.323e-15	26
1629	2655	610	421	2.114e-10	2.772e-12	76104
1629	1000	1651	983	4.465e-10	7.899e-12	160741
2350	2655	2014	1793	4.993e-13	7.035e-15	180
2350	1841	3000	1127	7.764e-12	1.049e-13	2796
2350	2655	1108	676	4.215e-12	5.529e-14	1518
1442	2350	3000	1415	1.493e-11	2.569e-13	5375
2080	1129	500	214	8.108e-10	1.194e-11	291889
1629	1841	908	1	3.884e-11	5.873e-13	13983
2080	1841	2458	1564	9.737e-12	1.38e-13	3506
1442	1276	1651	1233	1.792e-10	3.071e-12	64513
1841	3000	744	310	6.155e-11	8.375e-13	22159
1841	1000	744	658	3.988e-10	5.765e-12	143569
2655	2655	500	446	4.801e-10	8.877e-12	172837
2655	1442	3000	908	3.15e-11	4.494e-13	11341
1442	1276	3000	1093	1.63e-10	2.233e-12	58681
1629	1841	2014	1223	2.136e-11	3.364e-13	7690
1442	1629	3000	565	6.055e-11	9.951e-13	21799
2350	3000	1353	524	9.762e-13	1.257e-14	352
3000	2350	2014	1999	8.273e-13	1.089e-14	298
2350	2350	2458	2325	1.459e-12	8.222e-14	526
1841	2080	908	881	2.42e-11	4.219e-13	8713
1629	2350	908	1	2.431e-11	3.598e-13	8752
1442	1629	2014	1117	5.994e-11	9.593e-13	21579
2655	2350	1108	1098	5.362e-12	9.546e-14	1931
1629	1442	908	1	8.851e-11	1.336e-12	31864
2655	2350	2014	1480	9.687e-13	1.237e-14	349
2350	1629	908	898	3.699e-11	6.127e-13	13317
2655	1129	744	694	1.716e-10	2.755e-12	61777
2350	3000	500	490	7.658e-10	1.448e-11	275689
1841	2080	1353	1042	7.455e-12	9.754e-14	2684
2655	1000	1108	640	2.091e-10	2.989e-12	75277
2080	1442	1353	1281	4.285e-11	6.144e-13	15426
3000	1000	2458	1	1.902e-10	2.755e-12	68473
1000	1841	2014	983	2.551e-10	4.521e-12	91836
3000	1442	500	490	7.82e-10	1.465e-11	281521
2080	3000	3000	2064	4.317e-13	6.959e-15	156
2350	1442	744	596	1.047e-10	1.69e-12	37693
1841	1629	2014	1613	3.145e-11	5.632e-13	11322
2655	3000	1651	1625	2.443e-13	4.266e-15	88
1841	1276	908	706	1.203e-10	1.671e-12	43308
2655	2080	2458	2020	2.955e-12	4.812e-14	1064
3000	2080	1108	1043	4.762e-12	7.983e-14	1715
3000	2655	610	552	1.371e-10	2.529e-12	49357
2350	1276	1108	1098	7.618e-11	1.027e-12	27425
1129	1629	1108	1043	1.641e-10	2.159e-12	59077
1841	1442	1651	1117	5.354e-11	7.898e-13	19275
2655	1841	3000	695	6.766e-12	9.683e-14	2436
2655	2655	908	898	1.832e-11	3.384e-13	6596
1629	2080	610	421	2.166e-10	2.909e-12	77977
2350	1129	610	505	3.54e-10	5.692e-12	127441
1841	2655	1353	1042	2.628e-12	3.716e-14	947
3000	1276	2458	978	5.268e-11	7.348e-13	18965
2350	2655	3000	2311	4.806e-13	6.837e-15	174
3000	2350	908	863	1.531e-11	2.785e-13	5512
2080	3000	908	575	1.677e-11	2.212e-13	6038
2080	2080	744	694	5.684e-11	1.053e-12	20463
1841	1276	2014	1093	9.706e-11	1.36e-12	34942
3000	1629	1651	603	1.359e-11	2.066e-13	4893
2080	2080	1108	1083	9.083e-12	1.545e-13	3270
1841	1000	1651	1	3.358e-10	4.65e-12	120889
2080	2080	2014	1	5.464e-12	8.713e-14	1968
2655	1276	610	421	2.678e-10	3.969e-12	96409
2655	1000	500	336	9.148e-10	1.621e-11	329329
2655	2080	1651	1393	2.77e-12	3.761e-14	998
1841	1442	2458	565	5.372e-11	7.986e-13	19340
2350	3000	2458	1969	1.888e-13	3.126e-15	68
3000	2080	3000	1532	2.308e-12	3.038e-14	831
2350	1276	2014	1207	7.666e-11	1.241e-12	27598
1629	3000	2014	1223	3.591e-12	6.277e-14	1293
2080	2655	1651	1610	8.977e-13	1.295e-14	324
1841	2080	2014	1815	7.026e-12	1.073e-13	2530
2350	1000	1651	640	2.339e-10	3.051e-12	84204
3000	1841	2458	1127	5.851e-12	8.032e-14	2107
3000	3000	744	727	6.809e-11	1.25e-12	24513
3000	2350	500	214	6.72e-10	8.915e-12	241920
2080	1629	3000	1589	2.309e-11	3.998e-13	8313
1841	2080	500	336	7.331e-10	1.178e-11	263917
3000	2080	744	596	6.741e-11	1.077e-12	24268
2350	1841	1651	1625	7.996e-12	1.096e-13	2879
1841	2350	1651	1587	3.072e-12	4.136e-14	1106
2080	2350	908	892	2.067e-11	3.787e-13	7442
2080	2350	2014	719	1.98e-12	2.872e-14	713
1841	1629	1353	1042	2.789e-11	3.981e-13	10041
2655	1276	2458	1163	6.576e-11	1.069e-12	23674
2080	1629	744	734	9.06e-11	1.659e-12	32617
2350	2080	1353	1236	4.231e-12	6.349e-14	1524
2080	1841	1353	1343	1.102e-11	1.58e-13	3968
2080	2350	1353	1309	2.351e-12	3.687e-14	847
2350	2350	1651	1549	1.547e-12	2.479e-14	557
3000	1841	1353	1326	6.895e-12	1.016e-13	2483
2080	2080	3000	1855	4.958e-12	1.34e-13	1785
2655	1629	2458	1613	1.742e-11	3.244e-13	6272
2080	2655	610	600	2.412e-10	4.429e-12	86833
1629	1629	2458	1528	3.893e-11	1.478e-12	14015
3000	1000	610	421	3.972e-10	6.198e-12	142993
2080	1129	2014	1104	1.745e-10	2.962e-12	62821
2080	1276	744	658	1.544e-10	2.432e-12	55585
1841	1442	744	310	1.157e-10	1.879e-12	41653
2080	1629	2014	1	2.222e-11	3.145e-13	8000
2350	1000	3000	640	2.337e-10	3.08e-12	84132
2350	1841	744	596	7.003e-11	1.159e-12	25211
2350	1629	500	446	4.993e-10	9.244e-12	179749
1841	2655	500	336	7.129e-10	1.201e-11	256645
2350	1129	2458	1088	1.415e-10	2.378e-12	50941
1129	1276	744	491	4.252e-10	5.979e-12	153073
2080	1629	1108	1083	2.575e-11	3.685e-13	9271
1841	1841	2458	695	1.536e-11	4.736e-13	5530
1841	1129	2458	1023	1.973e-10	3.291e-12	71029
1000	1629	2458	784	3.242e-10	5.598e-12	116713
1000	1841	610	1	4.68e-10	6.734e-12	168481
1000	1000	2014	972	1.449e-09	5.76e-11	521641
1000	1000	1108	972	1.3e-09	5.387e-11	468001
1129	1129	2014	1088	5.085e-10	3.96e-11	183060
3000	3000	3000	2910	7.333e-14	2.27e-15	27
2350	2350	2458	2334	1.321e-12	8.648e-14	476
1276	1276	2014	490	2.572e-10	7.578e-12	92593
1629	1629	2458	1565	4.27e-11	1.671e-12	15373
1442	1442	2458	1244	8.785e-11	8.811e-12	31627
1841	1841	3000	1	1.619e-11	4.895e-13	5829
2080	2080	3000	1935	4.925e-12	1.88e-13	1774
1129	1129	2014	1104	5.623e-10	3.459e-11	202429
2350	2350	2458	2340	1.386e-12	6.204e-14	499
1000	1000	1108	983	1.367e-09	6.899e-11	492120
1000	1000	2014	983	1.114e-09	1.24e-10	401041
1442	1442	2458	1322	8.348e-11	8.624e-12	30053
2655	2350	3000	2288	1.074e-12	1.769e-14	387
2655	2655	1353	1343	1.256e-12	2.217e-14	453
2655	2350	2014	1671	9.871e-13	1.344e-14	356
3000	2080	3000	1729	2.23e-12	2.998e-14	803
1841	2655	2014	1825	1.906e-12	3.152e-14	687
2655	2655	2458	1837	3.768e-13	5.999e-15	136
3000	2350	2014	2004	8.389e-13	1.104e-14	303
2080	3000	3000	2070	4.331e-13	7.143e-15	156
2350	2350	1651	1587	1.325e-12	2.145e-14	478
2350	2655	3000	2325	4.874e-13	7.12e-15	176
2655	3000	1651	1635	2.455e-13	4.11e-15	89
2655	2080	1651	1489	2.821e-12	4.148e-14	1016
2655	2080	2458	2042	2.948e-12	4.795e-14	1062
2350	3000	1353	846	9.809e-13	1.304e-14	354
2350	3000	2458	2108	1.908e-13	3.082e-15	69
2080	2350	1353	1326	2.822e-12	4.352e-14	1016
2080	2350	2458	1	2.198e-12	3.181e-14	792
2080	2655	1651	1625	9.499e-13	1.425e-14	342
1841	2655	1353	1163	2.58e-12	3.531e-14	929
2350	2655	2014	1872	4.855e-13	6.627e-15	175
1841	2350	1651	1610	3.335e-12	4.514e-14	1201
1629	1629	2458	1589	3.842e-11	1.035e-12	13832
2350	2080	2014	2004	3.482e-12	5.896e-14	1254
3000	3000	3000	2942	7.442e-14	1.552e-15	27
1629	3000	3000	1613	3.527e-12	6.325e-14	1270
1841	2350	3000	1	3.941e-12	6.362e-14	1419
1276	1276	2014	792	2.372e-10	1.108e-11	85393
1629	3000	2014	1373	3.463e-12	6.058e-14	1247
2080	2080	3000	1987	4.815e-12	1.537e-13	1734
2350	2080	1353	1281	3.529e-12	5.293e-14	1271
1629	2655	2458	1565	4.463e-12	7.616e-14	1607
2350	2655	1108	838	4.284e-12	5.647e-14	1543
2080	3000	1353	1	1.454e-12	2.099e-14	524
3000	2080	1108	1067	6.277e-12	1.091e-13	2260
1841	1841	3000	1127	1.407e-11	6.798e-13	5066
1629	2655	1353	846	5.005e-12	6.7e-14	1802
2655	2350	1108	416	4.863e-12	6.578e-14	1751
2080	2080	2014	1182	5.106e-12	8.352e-14	1839
3000	1841	2458	1397	5.623e-12	7.946e-14	2025
3000	1841	1353	1336	6.599e-12	9.423e-14	2376
2655	1841	500	1	7.19e-10	1.107e-11	258841
2655	1841	2014	1774	6.901e-12	1.136e-13	2485
1629	2350	3000	1613	6.913e-12	1.109e-13	2489
1841	2080	2014	1825	6.797e-12	1.057e-13	2447
1629	2350	2014	1373	6.839e-12	1.159e-13	2463
2350	1841	3000	1397	7.719e-12	1.097e-13	2779
1629	3000	1108	1098	7.764e-12	1.258e-13	2796
1841	2080	1353	1163	7.388e-12	1.025e-13	2660
2350	1841	1651	1635	7.996e-12	1.117e-13	2879
2080	2080	1108	1092	9.55e-12	1.615e-13	3439
2080	1841	2458	1669	9.872e-12	1.323e-13	3554
1442	3000	2014	1425	1.039e-11	1.866e-13	3741
2655	1841	1108	940	1.077e-11	1.59e-13	3878
2080	1841	1353	524	1.063e-11	1.517e-13	3827
1629	2080	2458	1565	1.147e-11	1.827e-13	4130
1629	2350	1108	1098	1.099e-11	1.707e-13	3957
1841	2655	2014	1831	1.872e-12	3.084e-14	674
2080	3000	3000	746	4.364e-13	7.163e-15	158
2655	2655	2458	2066	3.711e-13	5.616e-15	134
2655	2655	1353	524	1.177e-12	1.732e-14	424
2655	2350	3000	2311	1.038e-12	1.658e-14	374
1442	2655	1353	846	1.134e-11	1.424e-13	4083
2350	2350	1651	1610	1.567e-12	2.484e-14	565
3000	2080	3000	1855	2.272e-12	3.04e-14	818
2655	2350	2014	1793	9.885e-13	1.498e-14	356
3000	2350	2014	719	8.792e-13	1.226e-14	317
1442	2655	2458	1425	1.205e-11	2.098e-13	4339
2655	3000	1651	1641	2.43e-13	4.082e-15	88
2350	2655	3000	2334	4.779e-13	6.783e-15	173
2080	2350	1353	1336	2.785e-12	4.341e-14	1003
2655	2080	1651	1549	2.907e-12	4.251e-14	1047
2350	3000	1651	1	4.561e-13	6.713e-15	165
2655	2080	2458	2055	2.962e-12	4.776e-14	1067
2080	2655	1651	1635	9.792e-13	1.401e-14	353
2350	3000	2458	2196	1.87e-13	3.055e-15	68
2080	2350	2458	1225	1.997e-12	2.97e-14	719
1841	2655	1353	1236	2.616e-12	3.741e-14	942
2350	2655	2014	1923	4.908e-13	6.663e-15	177
1629	2080	1353	846	1.174e-11	1.556e-13	4227
1841	2350	1651	1625	3.36e-12	4.685e-14	1210
2350	2080	2014	719	3.45e-12	5.004e-14	1243
1629	3000	3000	1619	3.551e-12	6.127e-14	1279
1629	3000	2014	1468	3.719e-12	6.651e-14	1339
1841	2350	3000	1127	3.42e-12	5.357e-14	1232
3000	1629	3000	1565	1.396e-11	2.181e-13	5026
2080	3000	1353	1042	1.208e-12	1.589e-14	435
3000	1629	1651	984	1.323e-11	1.91e-13	4763
2350	2080	1353	1309	4.023e-12	6.097e-14	1449
1442	3000	1108	940	1.37e-11	1.978e-13	4933
1442	2350	3000	1425	1.511e-11	2.494e-13	5440
2350	2655	1108	940	4.656e-12	7.67e-14	1677
1629	2655	2458	1589	4.55e-12	7.858e-14	1639
3000	2350	908	881	1.81e-11	3.289e-13	6517
1841	1841	1651	1610	1.551e-11	2.561e-13	5584
1442	2350	1651	908	1.519e-11	2.585e-13	5469
2655	2350	1108	676	4.867e-12	6.638e-14	1753
1629	2655	1651	1	5.076e-12	8.816e-14	1828
2080	2080	2014	1480	4.947e-12	7.868e-14	1781
2080	3000	908	706	1.65e-11	2.145e-13	5941
3000	2080	1108	1083	6.683e-12	1.119e-13	2406
2655	1629	2458	1619	1.711e-11	3.227e-13	6160
3000	1841	2458	1564	5.658e-12	7.636e-14	2037
2350	1629	2014	984	1.714e-11	2.558e-13	6171
1442	1276	1651	1260	1.889e-10	3.297e-12	68004
2655	3000	1108	1	4.357e-12	6.541e-14	1569
1442	2350	1108	1043	1.107e-11	1.635e-13	3986
1841	1000	3000	400	3.268e-10	4.527e-12	117649
3000	1841	1353	1343	6.723e-12	9.812e-14	2421
1841	2655	908	892	2.01e-11	3.597e-13	7237
1841	2080	2014	1831	6.805e-12	1.079e-13	2450
1629	2350	3000	1619	6.866e-12	1.135e-13	2472
2655	1841	2014	1799	7.363e-12	1.262e-13	2651
1629	2350	2014	1468	6.853e-12	1.102e-13	2468
2080	2350	908	898	2.041e-11	3.812e-13	7348
1629	1841	3000	1613	2.11e-11	3.384e-13	7597
2350	1841	3000	1564	7.811e-12	1.069e-13	2812
1629	1841	2014	1373	2.127e-11	3.349e-13	7658
1629	3000	1108	416	7.397e-12	9.703e-14	2663
1841	2080	1353	1236	7.466e-12	1.115e-13	2688
1442	2080	1353	1163	2.101e-11	2.93e-13	7564
2080	1629	2014	1223	2.084e-11	2.932e-13	7503
2350	1841	1651	1641	7.879e-12	1.122e-13	2837
1442	2080	2014	908	2.217e-11	3.546e-13	7982
2080	1629	3000	1604	2.303e-11	3.858e-13	8291
1841	2080	908	892	2.43e-11	4.227e-13	8749
2080	2080	1108	1098	9.453e-12	1.622e-13	3404
1629	2350	908	358	2.329e-11	3.313e-13	8385
1629	1841	1108	1098	2.45e-11	3.767e-13	8821
2080	1629	1108	1092	2.653e-11	4.123e-13	9551
2080	1841	2458	1734	1.063e-11	1.707e-13	3827
1442	3000	2014	1432	1.015e-11	1.722e-13	3655
2655	1841	1353	1	8.189e-12	1.195e-13	2949
2080	1841	1353	846	1.092e-11	1.652e-13	3932
1841	1629	1353	1163	2.7e-11	3.709e-13	9721
2655	3000	1108	1003	4.118e-12	6.733e-14	1483
1629	2350	1108	416	1.047e-11	1.444e-13	3770
1629	2080	2458	1589	1.153e-11	1.873e-13	4151
1276	3000	2458	978	2.885e-11	5.22e-13	10387
1442	3000	908	898	2.829e-11	4.71e-13	10185
1442	2655	1651	1	1.253e-11	2.251e-13	4511
1276	3000	1651	1163	3.015e-11	5.533e-13	10855
1442	2655	2458	1432	1.168e-11	2.058e-13	4205
1276	2655	3000	978	3.127e-11	5.649e-13	11258
2655	1442	2014	1322	3.46e-11	5.541e-13	12457
1629	2080	1651	1	1.238e-11	2.065e-13	4457
